Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Ctrl,10,IC,lower,40.38906414,54.88363127,121.963625
ANT,Ctrl,10,IC,lower,43.33333333,55.55343878,123.4520862
ANT,Ctrl,7,IC,upper,35.55527343,40.38715657,89.74923682
ANT,Ctrl,7,IC,upper,35.92958908,38.84738187,86.32751527
ANT,Ctrl,7,IC,upper,34.57945497,41.03116461,91.18036579
ANT,Exl,9,IC,lower,16.77028812,68.03414836,151.1869963
ANT,Exl,9,IC,lower,17.63934222,62.72438729,139.3875273
ANT,Exl,9,IC,lower,16.02596863,68.06673415,151.2594092
ARB,Add,12,IC,upper,16.59453829,149.3168395,331.8151989
ARB,Add,12,IC,upper,20.22836463,149.5362176,332.3027059
ARB,Add,12,IC,upper,18.71406399,152.4902302,338.8671782
ARB,Ctrl,6,IC,lower,16.09012249,101.859354,226.35412
ARB,Ctrl,6,IC,lower,15.0261869,98.0634986,217.9188858
ARB,Ctrl,6,IC,lower,17.59657708,96.69492919,214.8776204
ARB,Ctrl,6,IC,upper,23.71733702,336.0416736,746.7592747
ARB,Ctrl,6,IC,upper,25.70432759,147.6030634,328.0068077
ARB,Ctrl,6,IC,upper,24.44063927,136.5102957,303.3562127
BC,Add,11,Can,lower,153.4239893,224.8767692,499.7261539
BC,Add,11,Can,lower,162.7335094,195.3544908,434.1210906
BC,Add,11,Can,lower,152.5421032,192.8085875,428.4635279
BC,Ctrl,3,IC,lower,149.8600815,194.9352533,433.1894518
BC,Ctrl,3,IC,lower,154.4519545,196.1274864,435.8388587
BC,Ctrl,3,IC,lower,148.0435515,203.480305,452.1784556
BC,Ctrl,7,IC,lower,97.80880639,153.5081195,341.1291544
BC,Ctrl,7,IC,lower,103.6081948,157.994526,351.0989466
BC,Ctrl,7,IC,lower,101.2589184,150.3346275,334.07695
BC,Exl,4,Can,lower,112.5843758,138.004843,306.6774289
BC,Exl,4,Can,lower,113.4090942,143.6296998,319.1771108
BC,Exl,4,Can,lower,116.1542713,118.207816,262.6840356
BC,Exl,8,IC,upper,219.7859327,143.9503631,319.8896958
BC,Exl,8,IC,upper,200.4784142,224.3401403,498.5336452
BC,Exl,8,IC,upper,170.4569642,1.921207033,4.269348962
BP,Add,11,Can,lower,71.82828283,43.95451503,97.67670007
BP,Add,11,Can,lower,71.07070707,41.46919343,92.15376318
BP,Add,11,Can,lower,75.33838384,37.20151666,82.67003703
BP,Add,9,Can,lower,74.93489998,14.61238372,32.47196382
BP,Add,9,Can,lower,72.3749353,23.21179044,51.58175654
BP,Add,9,Can,lower,88.08659033,27.10439999,60.23199998
BP,Add,9,Can,upper,42.50729551,27.76889061,61.7086458
BP,Add,9,Can,upper,44.13770359,36.40531239,80.9006942
BP,Add,9,Can,upper,45.48743719,7.451137925,16.55808428
BP,Ctrl,6,IC,upper,90.23482007,18.50107757,41.1135057
BP,Ctrl,6,IC,upper,91.22772646,5.992210076,13.31602239
BP,Ctrl,6,IC,upper,98.11188811,19.02287832,42.27306293
BP,Exl,2,Can,lower,58.88797416,16.39815504,36.44034453
BP,Exl,2,Can,lower,55.43161549,23.72486192,52.72191538
BP,Exl,2,Can,lower,58.18455366,23.60093754,52.44652787
CC,Add,9,IC,lower,72.02867503,164.2131069,364.9180154
CC,Add,9,IC,lower,73.19756805,147.1465739,326.9923864
CC,Add,9,IC,lower,77.77699766,157.7124627,350.4721394
CC,Ctrl,3,IC,lower,75.17784111,221.9728475,493.2729944
CC,Ctrl,3,IC,lower,73.39071664,221.0919304,491.315401
CC,Ctrl,3,IC,lower,72.00272649,208.8487742,464.1083872
CC,Ctrl,3,IC,upper,93.26627219,258.4823376,574.4051947
CC,Ctrl,3,IC,upper,93.70062145,288.0077033,640.0171184
CC,Ctrl,3,IC,upper,94.99491374,248.3009443,551.7798761